token_,count
('terre', ''),51
('', 'fois'),45
('', 'quand'),33
('mille', ''),33
('soleil', ''),30
('', 'quatre'),30
('grand', ''),28
('vingt', ''),26
('', 'trois'),23
('monde', ''),21
('', 'combien'),20
('', 'pource'),20
('', 'où'),19
('', 'fin'),19
('', 'lequel'),19
('', 'foit'),18
('choses', ''),18
('', 'fix'),18
('', 'dire'),18
('', 'autant'),17
('trente', ''),17
('cieux', ''),16
('', 'parce'),16
('ans', ''),16
('minutes', ''),16
('', 'cinq'),16
('', 'neuf'),15
('hui', ''),15
('', 'lors'),15
('', 'là'),15
('', 'demy'),15
('celeftes', ''),14
('combien', ''),14
('quarante', ''),14
('', 'fept'),14
('dire', ''),14
('', 'ombre'),14
('forte', ''),13
('nature', ''),13
('', 'efté'),13
('parties', ''),13
('pource', ''),13
('demy', ''),13
('dieu', ''),13
('où', 'vient'),12
('', 'forte'),12
('', 'cy'),12
('ciel', ''),12
('', 'mv'),12
('entendement', ''),12
('', 'faut'),12
('', 'entendement'),12
('faire', ''),12
('cy', ''),11
('force', ''),11
('', 'bien'),11
('', 'finon'),11
('p', ''),11
('', 'faire'),11
('', 'homme'),11
('estoiles', ''),11
('f', ''),11
('mille', 'ans'),11
('', 'elles'),11
('parce', ''),10
('', 'voilà'),10
('cause', ''),10
('com', ''),10
('midy', ''),10
('', 'quelle'),10
('fphere', ''),10
('', 'hui'),10
('mv', ''),9
('', 'pourquoy'),9
('aftres', ''),9
('', 'ment'),9
('', 'dix'),9
('', 'eftant'),9
('', 'defia'),9
('qua', ''),9
('', 'com'),9
('', 'rien'),8
('', 'femble'),8
('', 'chose'),8
('', 'item'),8
('', 'animaux'),8
('ap', ''),8
('', 'cause'),8
('', 'orbe'),8
('homme', ''),8
('encor', ''),8
('', 'tres'),8
('haut', ''),8
('', 'non'),8
('trois', 'cents'),8
('foixante', ''),8
('th', ''),8
('lors', ''),8
('grandeur', ''),8
('', 'eftoille'),8
('', 'f'),8
('fecondes', ''),8
('corps', 'celeftes'),7
('voilà', 'pourquoy'),7
('', 'lefquelles'),7
('con', ''),7
('', 'tre'),7
('he', ''),7
('', 'certes'),7
('estoiles', 'fixes'),7
('eaux', ''),7
('planetes', ''),7
('', 'quel'),7
('', 'th'),7
('iufques', ''),7
('', 'my'),7
('degrez', ''),7
('lieu', ''),7
('', 'air'),7
('fois', 'grand'),7
('diametres', 'terre'),7
('gauche', ''),7
('', 'idées'),7
('conioin', ''),6
('veu', ''),6
('', 'ariftote'),6
('platon', ''),6
('animaux', ''),6
('', 'auoyent'),6
('', 'alexandre'),6
('anges', ''),6
('', 'ia'),6
('', 'neanmoins'),6
('item', ''),6
('', 'h'),6
('an', ''),6
('', 'dre'),6
('', 'p'),6
('', 'encor'),6
('', 'breux'),6
('', 'outre'),6
('tres', ''),6
('', 'toutesfois'),6
('', 'lefquels'),6
('', 'orient'),6
('', 'occident'),6
('', 'fçauoir'),6
('années', ''),6
('', 'rante'),6
('dif', ''),6
('', 'comment'),6
('', 'huict'),6
('', 'approche'),6
('', 'ailleurs'),6
('cents', 'ans'),6
('hebreux', ''),6
('long', 'temps'),6
('my', ''),6
('', 'routes'),6
('', 'petite'),6
('', 'mefine'),6
('', 'fera'),6
('comment', ''),6
('italiques', ''),6
('fractions', ''),6
('ombre', 'terre'),6
('lumiere', ''),6
('', 'res'),6
('femmes', ''),6
('deuant', ''),6
('createur', ''),5
('ve', ''),5
('def', ''),5
('', 'veu'),5
('ani', ''),5
('', 'entendre'),5
('entendre', ''),5
('hommes', ''),5
('', 'eftoil'),5
('eftoil', ''),5
('h', ''),5
('', 'an'),5
('foy', ''),5
('', 'll'),5
('', 'entre'),5
('', 'nt'),5
('', 'contient'),5
('fecrets', ''),5
('', 'fuft'),5
('fixes', ''),5
