token_,count
('dieu', ''),65
('sathan', ''),33
('diable', ''),25
('', 'an'),21
('', 'fin'),21
('', 'non'),18
('', 'faut'),18
('', 'ains'),16
('', 'depuis'),15
('mort', ''),15
('esprits', ''),15
('dire', ''),15
('vie', ''),14
('', 'come'),13
('', 'void'),13
('malings', 'esprits'),13
('', 'ame'),13
('allemaigne', ''),13
('', 'quand'),13
('', 'esprit'),13
('fin', ''),13
('troisiesme', ''),12
('corps', ''),12
('quel', ''),12
('', 'ila'),12
('hommes', ''),12
('', 'cela'),12
('f', ''),12
('', 'lequel'),12
('sain', ''),12
('esprit', ''),12
('', 'f'),11
('maladies', ''),11
('com', ''),11
('depuis', ''),11
('', 'quoy'),11
('ame', ''),10
('', 'foit'),10
('', 'troisieme'),10
('con', ''),10
('', 'homme'),10
('charmes', ''),10
('', 'elles'),10
('', 'rien'),9
('terre', ''),9
('', 'accord'),9
('', 'autant'),9
('an', 'mil'),9
('nui', ''),9
('', 'pourquoy'),9
('guerir', ''),9
('monde', ''),9
('', 'quel'),9
('malefice', ''),9
('', 'p'),8
('', 'alors'),8
('ans', ''),8
('foudain', ''),8
('', 'euefque'),8
('', 'parlant'),8
('', 'toutesfois'),8
('p', ''),8
('lieu', ''),8
('', 'eau'),8
('', 'neantmoins'),8
('', 'là'),8
('', 'sain'),8
('', 'com'),7
('', 'll'),7
('', 'euft'),7
('troisieme', ''),7
('diables', ''),7
('', 'maisil'),7
('iamais', ''),7
('', 'lieu'),7
('', 'iufques'),7
('iuftice', ''),7
('', 'parce'),7
('samedy', ''),7
('mots', ''),7
('feu', ''),7
('', 'res'),7
('chap', ''),7
('', 'où'),7
('', 'difant'),7
('', 'combien'),7
('', 'chose'),7
('', 'mettray'),7
('', 'quelque'),7
('', 'auons'),6
('malins', 'esprits'),6
('', 'ques'),6
('pays', ''),6
('iob', ''),6
('difoit', ''),6
('', 'foudain'),6
('do', ''),6
('vns', ''),6
('', 'air'),6
('', 'honneur'),6
('mil', 'cinq'),6
('', 'allemaigne'),6
('dece', ''),6
('', 'offencer'),6
('', 'charmes'),6
('offencer', ''),6
('là', ''),6
('', 'pere'),6
('pere', ''),6
('', 'chap'),6
('', 'forte'),6
('paris', ''),6
('confeffa', ''),6
('', 'maladie'),6
('maladie', ''),6
('', 'tre'),6
('dessus', ''),6
('mourut', ''),6
('malefices', ''),6
('res', ''),6
('prieres', ''),6
('perfonnes', ''),6
('', 'fit'),6
('', 'auoyent'),6
('laon', ''),6
('', 'lib'),6
('lib', ''),6
('', 'va'),6
('maling', 'esprit'),6
('vi', ''),5
('', 'quieft'),5
('', 'tres'),5
('', 'lifons'),5
('', 'hiftoire'),5
('ques', ''),5
('', 'beftes'),5
('loy', 'dieu'),5
('', 'el'),5
('', 'ment'),5
('euefque', ''),5
('dicu', ''),5
('el', ''),5
('', 'beau'),5
('', 'eftà'),5
('accord', ''),5
('def', ''),5
('', 'nommé'),5
('cinq', 'cens'),5
('iugement', ''),5
('difant', ''),5
('prier', 'dieu'),5
('general', ''),5
('', 'ilfe'),5
('pieds', ''),5
('', 'aumofne'),5
('sorciers', 'peuuent'),5
('main', ''),5
('', 'illuy'),5
('', 'ic'),5
('', 'ena'),5
('', 'ray'),5
('ve', ''),5
('', 'aufli'),5
('autant', ''),5
('', 'trouua'),5
('', 'confeffa'),5
('mettray', ''),5
('cy', 'dessus'),5
('no', ''),5
('', 'mains'),5
('', 'faifant'),5
('mal', 'caduc'),5
('caduc', ''),5
('ad', ''),5
('', 'ls'),5
('', 'opinion'),5
('', 'eftant'),5
('', 'quant'),5
('maifon', ''),5
('', 'lors'),5
('', 'pierre'),5
('demoniaques', ''),5
('dedieu', ''),4
('', 'egypte'),4
('', 'eftoient'),4
('auons', ''),4
('deffus', ''),4
('', 'eod'),4
('eod', ''),4
('', 'ex'),4
('ex', ''),4
('', 'facrifices'),4
('beftes', ''),4
('horreur', ''),4
('', 'quia'),4
('', 'clle'),4
('', 'ileft'),4
('', 'monftrer'),4
('prince', ''),4
('', 'tel'),4
('pro', ''),4
('', 'donner'),4
('', 'feroit'),4
('chiens', ''),4
('refpondit', ''),4
('ge', ''),4
('lessorciers', ''),4
('demeurent', ''),4
('hom', ''),4
('iours', ''),4
('', 'fer'),4
('', 'it'),4
('ca', ''),4
('', 'fera'),4
('', 'diét'),4
('impieté', ''),4
('', 'prenant'),4
('he', ''),4
('', 'lessorciers'),4
('fain', ''),4
('ds', ''),4
('efcript', ''),4
('', 'ure'),4
('be', ''),4
('', 'dequoy'),4
('', 'uent'),4
('', 'appelle'),4
('gens', 'bien'),4
('', 'façon'),4
('ap', ''),4
('', 'pluftoft'),4
('', 'apresauoir'),4
('premiere', 'heure'),4
('repos', ''),4
('dieu', 'donne'),4
('fan', ''),4
('', 'nc'),4
('porte', ''),4
('malade', ''),4
('faire', 'mourir'),4
('', 'bié'),4
('sort', ''),4
('cheual', ''),4
('', 'pendant'),4
('', 'mis'),4
('', 'quine'),4
('mains', ''),4
('ville', ''),4
('eau', ''),4
('', 'ille'),4
('', 'quelquesfois'),4
('al', ''),4
('', 'difons'),4
('ruine', ''),4
('', 'noir'),4
('ls', ''),4
('', 'ieune'),4
('', 'bonne'),4
('', 'nn'),4
('certaine', ''),4
('có', ''),4
('pape', ''),4
('', 'ae'),4
('', 'efcripture'),4
('', 'print'),4
('caufe', ''),4
('lors', ''),4
('preftre', ''),4
('cartes', ''),4
('ho', ''),4
('', 'fuft'),4
('', 'ble'),4
('', 'ad'),4
('poin', ''),4
('iuges', ''),4
('douleur', ''),4
('', 'face'),4
('fer', ''),4
('', 'empefcher'),4
('malin', 'esprit'),4
('idolatrie', ''),4
('', 'anthoine'),4
('nom', ''),4
('fuperftitions', ''),4
('gentil', ''),4
('grec', ''),4
('esprit', 'dieu'),4
('sor', ''),3
('', 'ot'),3
('egypte', ''),3
('grece', ''),3
