token_,count
('peuples', 'septentrion'),21
('estat', 'populaire'),18
('peuple', 'meridional'),16
('menu', 'peuple'),12
('loy', 'dieu'),10
('non', 'seulement'),9
('guerres', 'civiles'),9
('bien', 'fort'),8
('peuples', 'midy'),8
('peu', 'peu'),7
('gens', 'bien'),7
('long', 'temps'),6
('sept', 'mil'),6
('cens', 'ans'),6
('roy', 'france'),6
('bien', 'certain'),6
('cinq', 'cens'),6
('beaucoup', 'mieux'),6
('bien', 'souvent'),6
('places', 'fortes'),6
('pays', 'meridional'),5
('cefte', 'caufe'),5
('pauvreté', 'extreme'),5
('empereur', 'charles'),5
('estat', 'aristocratique'),5
('cy', 'dessus'),5
('biens', 'condamnez'),5
('fortifier', 'villes'),5
('art', 'militaire'),5
('nature', 'lieux'),4
('bien', 'grande'),4
('faut', 'donc'),4
('mont', 'atlas'),4
('peuple', 'septentrional'),4
('bien', 'dire'),4
('aller', 'guerre'),4
('grand', 'nombre'),4
('guerre', 'civile'),4
('parle', 'moyen'),4
('faire', 'mourir'),4
('peu', 'ple'),4
('fix', 'cens'),4
('republique', 'bien'),4
('voila', 'quant'),4
('faut', 'faire'),4
('cefte', 'loy'),4
('quelque', 'chofe'),4
('cens', 'mil'),4
('parles', 'ordonnances'),4
('ains', 'contraire'),4
('anciens', 'romains'),4
('prince', 'souverain'),4
('bien', 'munie'),4
('faire', 'guerre'),4
('difcipline', 'militaire'),4
('grands', 'estats'),3
('pouuons', 'dire'),3
('peuple', 'septentrion'),3
('quoy', 'die'),3
('chaleur', 'interieure'),3
('charles', 'bourbon'),3
('peuples', 'regions'),3
('regions', 'moyennes'),3
('grace', 'bien'),3
('mil', 'hommes'),3
('peuples', 'deseptentrion'),3
('quarante', 'ans'),3
('quelque', 'temps'),3
('aufli', 'voyons'),3
('peuples', 'metoyens'),3
('maifon', 'france'),3
('auoient', 'charge'),3
('nombre', 'infini'),3
('trois', 'iours'),3
('cinquante', 'ans'),3
('prend', 'garde'),3
('naturel', 'peuple'),3
('vaut', 'beaucoup'),3
('cas', 'pa'),3
('difference', 'bien'),3
('grande', 'peuples'),3
('plat', 'pays'),3
('rend', 'hommes'),3
('bien', 'peuple'),3
('thomas', 'more'),3
('telles', 'abolitions'),3
('trois', 'estats'),3
('deuant', 'yeux'),3
('entre', 'vifs'),3
('laloy', 'dieu'),3
('haut', 'poinét'),3
('quatre', 'cinq'),3
('domaine', 'republique'),3
('bien', 'executee'),3
('fils', 'aifné'),3
('dix', 'millivres'),3
('mil', 'escus'),3
('faut', 'efperer'),3
('iamais', 'faute'),3
('roy', 'françois'),3
('prince', 'doit'),3
('bien', 'cher'),3
('lequel', 'voyant'),3
('monstré', 'cy'),3
('sil', 'bon'),3
('bataille', 'contre'),3
('faire', 'tefte'),3
('entré', 'pays'),3
('roy', 'pirrhus'),3
('gens', 'guerre'),3
('fecours', 'alliez'),3
('ligue', 'offenfiue'),3
