token_,count
('où', 'vient'),87
('voilà', 'pourquoy'),55
('long', 'temps'),48
('grand', 'peine'),27
('cestuy', 'cy'),26
('quelques', 'uns'),24
('cause', 'efficiente'),23
('entendement', 'agent'),23
('cinq', 'cens'),22
('longue', 'durée'),21
('hors', 'mis'),19
('vray', 'femblable'),19
('pierres', 'metaux'),16
('dont', 'aduient'),16
('argent', 'vif'),16
('neant', 'moins'),15
('seroit', 'autant'),14
('quatriesme', 'livre'),14
('orient', 'occident'),13
('chaleur', 'naturelle'),12
('nombre', 'infiny'),12
('differentes', 'vnes'),11
('anges', 'demons'),11
('mille', 'cinq'),11
('bon', 'gré'),10
('loy', 'diuine'),10
('cinq', 'cents'),10
('faut', 'douter'),9
('def', 'quels'),9
('enten', 'dement'),9
('ouy', 'certes'),9
('fond', 'comble'),9
('premier', 'mobile'),9
('grecs', 'appellent'),9
('mal', 'conuenable'),9
('vers', 'midy'),9
('con', 'traire'),9
('pris', 'nom'),9
('voila', 'pourquoy'),9
('occident', 'orient'),9
('horf', 'mis'),9
('cents', 'vingt'),9
('cens', 'soixante'),9
('sous', 'filence'),8
('comment', 'cela'),8
('moyenne', 'entre'),8
('estoiles', 'fixes'),8
('engen', 'drent'),8
('fuit', 'pres'),8
('dia', 'metre'),8
('section', 'xvi'),8
('quatre', 'heures'),8
('quarante', 'neuf'),8
('vingt', 'neuf'),8
('cents', 'quarante'),8
('entrailles', 'terre'),7
('pourroit', 'trouuer'),7
('opi', 'nion'),7
('qua', 'tre'),7
('bon', 'droit'),7
('fau', 'droit'),7
('maladies', 'populaires'),7
('gens', 'bien'),7
('pre', 'miere'),7
('quel', 'inconuenient'),7
('explique', 'moy'),7
('beau', 'coup'),7
('droitte', 'ligne'),7
('tou', 'chant'),7
('ccux', 'cy'),7
('pier', 'res'),7
('chaud', 'humide'),7
('quant', 'moy'),7
('costé', 'midy'),7
('vaut', 'autant'),7
('mal', 'caduc'),7
('appellé', 'grecs'),7
('oà', 'vient'),7
('section', 'xv'),7
('qua', 'rante'),7
('neuf', 'minutes'),7
('lef', 'quelles'),6
('fou', 'uent'),6
('alexandre', 'aphrodifée'),6
('haut', 'bas'),6
('ça', 'uoir'),6
('prin', 'cipe'),6
('def', 'ia'),6
('cest', 'argument'),6
('mouue', 'ment'),6
('enten', 'dre'),6
