token_,count
iuftice rend chacune,1
quelle apparence ail,1
queles gens debien,1
ange fapience fcience,1
moy sil plaift,1
fuir mal fuiure,1
entre chofes egales,1
entre deux extremitez,1
belle plus excellente,1
milieu deux vices,1
fapience fcience prudence,1
tant foit peu,1
comment peut faire,1
fuiure bien fans,1
plus excellente chofe,1
vertus milieu vices,1
beaucoup plus grande,1
fin toutes chofes,1
mal fuiure bien,1
plus beau ni,1
fouuerain bien homme,1
ni bien ni,1
plus grande plus,1
plus belle plus,1
plus grand bien,1
